url,url_length,has_https,is_shortened,entropy_score,domain_age_months,blacklist_match,source_channel,sender_known,clicked,fraud_label
https://jones-howard.info/login,31,1,0,0.49,51,0,Other,0,0,0
https://price-hoffman.biz/login,31,1,0,0.56,56,0,SMS,1,1,0
https://hunter-secure-login.top/login,37,0,0,0.96,2,1,Email,0,1,1
https://johnson-secure-login.top/login,38,0,1,0.85,3,1,Email,0,0,1
https://harris.com/login,24,1,0,0.51,9,0,WhatsApp,1,1,0
https://lawrence.com/login,26,1,0,0.36,8,0,WhatsApp,0,1,0
https://burns.net/login,23,1,0,0.23,16,0,Email,0,0,0
https://hamilton-guerrero.com/login,35,1,0,0.43,32,0,Other,0,0,0
https://perez.com/login,23,1,0,0.39,53,0,WhatsApp,1,1,0
https://phillips.com/login,26,1,0,0.34,36,0,Other,0,0,0
https://brown-mcdonald.info/login,33,1,0,0.49,38,0,SMS,0,1,0
https://davis.net/login,23,1,0,0.41,22,0,SMS,0,0,0
https://butler.com/login,24,1,0,0.24,15,0,SMS,0,0,0
https://lawson-ponce.biz/login,30,1,0,0.49,38,0,SMS,1,0,0
https://esparza-secure-login.ru/login,37,0,1,0.83,4,1,Email,0,1,1
https://singh.biz/login,23,1,0,0.22,27,0,SMS,0,1,0
https://wells.info/login,24,1,0,0.22,35,0,Other,0,1,0
https://white.com/login,23,1,0,0.42,30,0,Other,1,0,0
https://phillips.com/login,26,1,0,0.3,19,0,Email,1,1,0
https://brown.com/login,23,1,0,0.25,11,0,WhatsApp,0,1,0
https://patton-norris.org/login,31,1,0,0.23,14,0,Email,0,0,0
https://russell-bowers-secure-login.top/login,45,0,0,0.85,3,1,Email,1,1,1
https://schwartz.org/login,26,1,0,0.31,41,0,Email,1,0,0
https://morris.net/login,24,1,0,0.33,46,0,Other,1,0,0
https://nelson-villarreal.net/login,35,1,0,0.39,17,0,Other,1,0,0
https://huff-secure-login.xyz/login,35,0,0,0.82,2,1,WhatsApp,1,1,1
https://clayton-silva.com/login,31,1,0,0.54,50,0,Other,1,0,0
https://hicks-secure-login.top/login,36,0,1,0.88,3,1,Other,0,0,1
https://ruiz-mendoza.info/login,31,1,0,0.23,9,0,Other,1,1,0
https://harvey-secure-login.top/login,37,0,0,0.98,3,1,WhatsApp,1,0,1
https://watson-secure-login.cn/login,36,0,1,0.89,3,1,SMS,0,0,1
https://grant-secure-login.ru/login,35,0,1,0.85,3,1,Other,0,1,1
https://cuevas.com/login,24,1,0,0.51,13,0,WhatsApp,1,0,0
https://lawson.biz/login,24,1,0,0.33,43,0,Email,1,1,0
https://day-secure-login.top/login,34,0,1,0.84,5,1,Email,1,1,1
https://montgomery.com/login,28,1,0,0.43,47,0,Email,0,0,0
https://chavez-boyle-secure-login.xyz/login,43,0,1,0.83,4,1,Email,1,0,1
https://howard-rodriguez-secure-login.top/login,47,0,0,0.87,4,1,WhatsApp,0,1,1
https://christensen.net/login,29,1,0,0.22,32,0,WhatsApp,1,0,0
https://alvarez.com/login,25,1,0,0.48,43,0,Email,0,0,0
https://le.com/login,20,1,0,0.34,9,0,WhatsApp,0,0,0
https://guerrero-secure-login.ru/login,38,0,1,0.88,1,1,Other,0,0,1
https://cook.com/login,22,1,0,0.47,41,0,Email,1,1,0
https://howard-secure-login.xyz/login,37,0,0,0.87,5,1,SMS,0,0,1
https://christensen-martin.com/login,36,1,0,0.59,29,0,Email,0,0,0
https://hoffman.com/login,25,1,0,0.49,15,0,Email,0,1,0
https://green-rodriguez-secure-login.xyz/login,46,0,1,0.96,3,1,WhatsApp,1,1,1
https://nelson.com/login,24,1,0,0.53,28,0,SMS,1,1,0
https://campbell-aguilar-secure-login.xyz/login,47,0,1,0.91,5,1,WhatsApp,0,0,1
https://lee.com/login,21,1,0,0.4,28,0,Email,0,0,0
https://terrell-jackson.com/login,33,1,0,0.21,42,0,Email,0,1,0
https://thomas-secure-login.xyz/login,37,0,1,0.92,0,1,Email,0,1,1
https://singleton-garcia.com/login,34,1,0,0.33,9,0,SMS,0,1,0
